manutencao_id,condominio,tipo_intervencao,area_afetada,descricao,data_reportada,data_inicio,data_conclusao,fornecedor,custo_total,urgencia,estado
MN00016,CONDOMÍNIO CENTRAL,Manutenção preventiva,Jardim,Relva necessita tratamento,2023-12-27,2023-12-28,2024-01-01,UltraFix SA,1403.96,Crítica,Concluído
MN00017,Jardins da Cidade,Manutenção preventiva,Jardim,Sistema de rega avariado,2024-03-21,2024-03-23,2024-03-27,ProServiços SA,342.38,Alta,Concluído
MN00018,quinta das palmeiras,Melhoria,Piscina,Azulejos partidos no fundo,2024-07-21,2024-07-28,2024-08-01,GlobalTec Unipessoal,564.44,Alta,Concluído
MN00019,Vila Verde,Reparação urgente,Garagem,Piso com fissuras e buracos,2023-10-12,2023-10-19,2023-10-24,ProServiços SA,2203.2,Alta,Concluído
MN00020,TORRES DO SOL,Manutenção preventiva,Garagem,Marcações no chão necessitam repintura,2023-12-26,2023-12-28,2024-01-02,ProServiços SA,956.23,critica,Concluído
MN00021,Residencial Atlântico,Manutenção preventiva,Elevador,Ruído excessivo durante funcionamento,2024-01-12,2024-01-16,2024-01-22,TecnoReparações Group,3530.64,Alta,Concluído
MN00022,Quinta das Palmeiras,Reparação urgente,Telhado,Impermeabilização degradada,2024-02-19,2024-02-20,2024-02-24,masterfix lda,13836.87,Crítica,Concluído
MN00023,torres do sol,Melhoria,Jardim,Poda de árvores urgente,2024-08-27,2024-10-08,2024-10-15,UltraFix & Filhos,674.34,Baixa,Concluído
MN00024,CONDOMÍNIO CENTRAL,Reparação urgente,Piscina,Sistema de filtragem necessita manutenção,2023-12-02,2023-12-04,2023-12-14,MasterFix Lda.,1900.87,Alta,Concluído
MN00025,VILA VERDE,Manutencao preventiva,Piscina,Azulejos partidos no fundo,2025-03-21,2025-04-19,2025-05-14,masterfix lda,1367.78,Baixa,Concluído
MN00026,vila verde,Manutenção preventiva,Elevador,Ruído excessivo durante funcionamento,2024-12-29,2025-02-10,2025-03-04,MasterFix Unipessoal,4109.64,Baixa,Concluído
MN00027,Jardins da Cidade,Manutenção preventiva,Piscina,Vedação de segurança danificada,2024-10-26,2024-10-28,2024-11-05,MASTERFIX LDA,490.47,Alta,Concluído
MN00028,RESIDENCIAL ATLÂNTICO,Manutenção preventiva,Piscina,pH da água desregulado,2024-11-25,2024-12-12,2024-12-28,UltraFix & Filhos,1829.64,Média,Concluído
MN00029,condomínio central,Reparação urgente,Garagem,Sistema de ventilação com problemas,2025-06-07,2025-06-10,2025-06-15,MasterFix Unipessoal,2010.67,Alta,Concluído
MN00030,Torres do Sol,Inspeção,Elevador,Ruído excessivo durante funcionamento,2023-10-20,2023-11-01,2023-11-18,ProServiços SA,838.28,Média,Concluído
MN00031,QUINTA DAS PALMEIRAS,Manutenção preventiva,Elevador,Necessária inspeção periódica obrigatória,2024-07-05,2024-07-05,2024-07-08,PrimeWorks Group,2431.71,Crítica,Concluído
MN00032,vila verde,Reparação urgente,Jardim,Sistema de rega avariado,2023-12-08,2023-12-10,2023-12-12,TecnoReparações Group,913.23,Crítica,Concluído
MN00033,residencial atlântico,Melhoria,Fachada,Revestimento cerâmico solto,2025-06-30,2025-07-10,2025-07-26,UltraFix SA,4794.01,Média,Concluído
MN00034,Jardins da Cidade,Inspeção,Elevador,Necessária inspeção periódica obrigatória,2023-09-19,2023-10-24,2023-11-14,,223.27,Baixa,Concluído
MN00035,condomínio central,Melhoria,Telhado,Sistema de drenagem entupido,2024-11-21,2024-11-23,2024-11-24,MASTERFIX LDA,4857.28,Crítica,Concluído
MN00036,VILA VERDE,Reparação urgente,Telhado,Telhas partidas necessitam substituição,2025-01-28,2025-01-31,2025-02-10,GlobalTec Unipessoal,7136.7,Alta,Concluído
MN00037,Vila Verde,Inspeção,Hall,Intercomunicador avariado,2025-02-20,2025-03-11,2025-03-31,TecnoReparações Solutions,990.59,Média,Concluído
MN00038,vila verde,Manutenção preventiva,Jardim,Relva necessita tratamento,2025-03-16,2025-03-24,2025-04-03,PrimeWorks Group,740.55,Média,Concluído
MN00039,QUINTA DAS PALMEIRAS,Inspeção,Elevador,Necessária inspeção periódica obrigatória,2024-03-24,2024-05-08,2024-05-22,ProServiços Group,2139.04,Baixa,Concluído
MN00040,TORRES DO SOL,melhoria,Elevador,Botões do painel não respondem,2024-10-06,2024-11-06,2024-11-16,GlobalTec Group,870.2,Baixa,Concluído
MN00041,Torres do Sol,Reparação urgente,Jardim,Pragas detetadas nas plantas,2024-11-11,2024-11-13,2024-11-19,PrimeWorks Group,830.09,Alta,Concluído
MN00042,JARDINS DA CIDADE,Reparação urgente,Elevador,Avaria no sistema de travagem,2024-03-04,2024-03-07,2024-03-16,TecnoReparações Group,946.21,Alta,Concluído
MN00043,QUINTA DAS PALMEIRAS,Manutenção preventiva,Elevador,Ruído excessivo durante funcionamento,2023-12-03,2024-01-12,2024-01-29,TecnoReparações Unipessoal,2335.55,Baixa,Concluído
MN00044,TORRES DO SOL,Melhoria,Jardim,Relva necessita tratamento,2025-05-08,2025-05-15,2025-05-25,GlobalTec Unipessoal,256.26,Alta,Concluído
MN00045,Quinta das Palmeiras,Manutenção preventiva,Piscina,Azulejos partidos no fundo,2024-06-20,2024-08-02,2024-08-11,TecnoReparações Unipessoal,923.25,Baixa,Concluído
MN00046,JARDINS DA CIDADE,Reparação urgente,Hall,Piso escorregadio necessita tratamento,2025-06-25,2025-06-25,2025-06-27,MasterFix Unipessoal,1324.03,CRITICA,Concluído
MN00047,JARDINS DA CIDADE,Reparação urgente,Fachada,Revestimento cerâmico solto,2025-06-11,2025-06-11,2025-06-15,masterfix lda,24720.09,Crítica,Concluído
MN00048,Condomínio Central,Manutenção preventiva,Piscina,Vedação de segurança danificada,2024-12-08,2024-12-14,2024-12-23,TecnoReparações Solutions,346.96,Alta,Concluído
MN00049,jardins da cidade,Reparação urgente,Piscina,pH da água desregulado,2023-11-05,2023-11-11,2023-11-16,ProServiços Group,1497.46,Alta,Concluído
MN00050,Quinta das Palmeiras,Melhoria,Jardim,Iluminação exterior fundida,2025-06-28,2025-07-01,2025-07-04,TecnoReparações Unipessoal,0.0,Alta,Concluído
MN00051,RESIDENCIAL ATLÂNTICO,Reparação urgente,Elevador,Avaria no sistema de travagem,2024-02-02,2024-02-08,2024-02-12,MasterFix Lda.,4246.7,Alta,Concluído
MN00052,CONDOMÍNIO CENTRAL,Inspeção,Elevador,Necessária inspeção periódica obrigatória,2024-04-04,2024-04-09,2024-04-19,ProServiços SA,1034.3,Alta,Concluído
MN00053,condomínio central,Reparação urgente,Elvador,Piso escorregadio necessita tratamento,2024-07-20,2024-07-22,2024-07-27,MasterFix Lda.,1998.62,critica,Concluído
MN00054,VILA VERDE,Inspecção,Jardim,Pragas detetadas nas plantas,2024-08-03,2024-09-05,2024-09-18,ProServiços SA,867.06,Baixa,Concluído
MN00055,TORRES DO SOL,Reparação urgente,Telhado,Estrutura de suporte com sinais de degradação,2023-12-01,2023-12-03,2023-12-06,ProServiços SA,4407.65,Alta,Concluído
MN00056,torres do sol,Manutenção preventiva,Garagem,Marcações no chão necessitam repintura,2024-10-27,2024-11-14,2024-11-26,GlobalTec Unipessoal,1955.01,Média,Concluído
MN00057,condomínio central,Inspeção,Jardim,,2025-02-06,2025-02-20,2025-03-04,UltraFix Group,54.62,Média,Concluído
MN00058,RESIDENCIAL ATLÂNTICO,Melhoria,Hall,Correio acumulado sem distribuição,2024-11-12,2024-11-14,2024-11-17,TecnoReparações Group,395.05,Crítica,Concluído
MN00059,residencial atlântico,Manutenção preventiva,Elevador,Porta não fecha corretamente,2024-01-14,2024-01-28,2024-02-03,TecnoReparações Solutions,508.27,Média,Concluído
MN00060,residencial atlântico,Manutenção preventiva,Elevador,Botões do painel não respondem,2024-07-19,2024-08-30,2024-09-27,SmartRepair Lda,3420.49,Baixa,Concluído
MN00061,VILA VERDE,Manutenção preventiva,Fachada,Fissuras visíveis na parede norte,2024-05-24,2024-07-07,2024-07-26,MasterFix Unipessoal,10624.2,Baixa,Concluído
MN00062,Vila Verde,Reparação urgente,Elevador,Necessária inspeção periódica obrigatória,2023-12-22,2023-12-22,2023-12-27,ProServiços SA,4533.88,Crítica,Concluído
MN00063,residencial atlântico,melhoria,Piscina,Bomba de circulação com ruído anormal,2023-10-30,2023-11-01,2023-11-06,SmartRepair Lda,1849.51,Crítica,Concluído
MN00064,Quinta das Palmeiras,Inspeção,Elevador,Botões do painel não respondem,2024-02-14,2024-03-17,2024-04-08,UltraFix & Filhos,3802.9,Baixa,CONCLUIDO
MN00065,Vila Verde,Manutenção preventiva,Piscina,Azulejos partidos no fundo,2023-12-21,2024-01-13,2024-02-11,GlobalTec Group,148.82,Baixa,Concluido
MN00066,residencial atlântico,Inspeção,Elevador,Ruído excessivo durante funcionamento,2024-09-16,2024-10-06,2024-10-23,TecnoReparações Group,2794.09,Baixa,Concluído
MN00067,TORRES DO SOL,Reparação urgente,Elevador,Porta não fecha corretamente,2024-10-01,2024-10-03,2024-10-06,PrimeWorks Group,1886.88,Crítica,Concluído
MN00068,JARDINS DA CIDADE,Inspeção,Telhado,Sistema de drenagem entupido,2024-01-07,2024-01-09,2024-01-12,ProServiços SA,14943.92,Crítica,Concluído
MN00069,quinta das palmeiras,Inspeção,Fachada,Revestimento cerâmico solto,2024-05-06,2024-05-06,2024-05-11,MASTERFIX LDA,14310.13,Crítica,Concluído
MN00070,vila verde,Reparação urgente,Fachada,Humidade ascendente no piso térreo,2025-03-21,2025-03-25,2025-03-30,SmartRepair Solutions,19419.54,Alta,Concluído
MN00071,torres do sol,Inspeção,Garagem,Marcações no chão necessitam repintura,2024-09-12,2024-10-20,2024-11-04,SmartRepair Solutions,1107.87,baixa,Concluído
MN00072,Quinta das Palmeiras,Reparação urgente,Fachada,Humidade ascendente no piso térreo,2024-08-11,2024-08-11,2024-08-12,ProServiços Group,2308.92,Crítica,Concluído
MN00073,vila verde,Inspeção,Telhado,Sistema de drenagem entupido,2024-11-12,2024-12-03,2024-12-18,SmartRepair Lda,6963.51,Média,Concluído
MN00074,Condomínio Central,Manutenção preventiva,Elevador,Botões do painel não respondem,2023-10-12,2023-10-19,2023-11-06,ProServiços SA,4649.22,Média,Concluído
MN00075,residencial atlântico,Inspeção,Elevador,Porta não fecha corretamente,2024-05-30,2024-07-09,2024-07-28,MasterFix Unipessoal,2355.86,Baixa,Concluído
MN00076,torres do sol,Melhoria,Jardim,Poda de árvores urgente,2024-02-11,2024-02-11,2024-02-13,GlobalTec Unipessoal,1380.84,Crítica,Concluído
MN00077,condomínio central,Manutenção preventiva,Elevador,Botões do painel não respondem,2024-01-19,2024-01-31,2024-02-08,GlobalTec Unipessoal,4489.76,Média,Concluído
MN00078,vila verde,Inspeção,Telhado,Telhas partidas necessitam substituição,2023-10-20,2023-11-19,,GlobalTec Group,5400.84,Baixa,em curso
MN00079,RESIDENCIAL ATLÂNTICO,Melhoria,Fachada,Pintura descascada em várias zonas,2024-03-20,2024-04-06,2024-04-15,GlobalTec Unipessoal,13013.61,Média,Concluído
MN00080,Torres do Sol,Reparação urgente,Fachada,Necessária limpeza e tratamento anti-grafitti,2023-12-28,2023-12-31,2024-01-09,TecnoReparações Group,4540.45,Alta,Concluído
MN00081,JARDINS DA CIDADE,Melhoria,Telhado,Telhas partidas necessitam substituição,2024-03-22,2024-04-13,2024-04-21,TecnoReparações Group,1114.34,Baixa,Concluído
MN00082,Residencial Atlântico,Manutenção preventiva,Elevador,Necessária inspeção periódica obrigatória,2024-06-28,2024-06-29,2024-07-02,masterfix lda,1129.01,Crítica,Concluído
MN00083,RESIDENCIAL ATLÂNTICO,Reparação urgente,Elevador,Necessária inspeção periódica obrigatória,2025-01-12,2025-01-16,2025-01-19,PrimeWorks Group,4877.4,Alta,Concluído
MN00084,TORRES DO SOL,Manutenção preventiva,Fachada,Pintura descascada em várias zonas,2023-10-07,2023-10-10,2023-10-18,MASTERFIX LDA,18428.61,Alta,Concluído
MN00085,CONDOMÍNIO CENTRAL,Reparação urgente,Fachada,Fissuras visíveis na parede norte,2023-10-20,2023-10-21,2023-10-23,UltraFix & Filhos,14851.72,critica,Concluído
MN00086,VILA VERDE,Reparação urgente,Piscina,pH da água desregulado,2025-03-01,2025-03-08,2025-03-13,GlobalTec Group,159.01,Alta,Concluído
MN00087,torres do sol,Melhoria,Jardim,Sistema de rega avariado,2024-08-31,2024-09-08,2024-09-27,TecnoReparações Group,669.83,Média,Concluído
MN00088,JARDINS DA CIDADE,Reparação urgente,Garagem,Marcações no chão necessitam repintura,2025-06-04,2025-06-06,2025-06-11,ProServiços Group,684.77,Crítica,Concluído
MN00089,Condomínio Central,Inspeção,Hall,Intercomunicador avariado,2025-01-31,2025-02-14,2025-03-02,UltraFix & Filhos,841.11,Baixa,Concluído
MN00090,Torres do Sol,Melhoria,Telhado,Impermeabilização degradada,2024-04-16,2024-04-18,2024-04-21,SmartRepair Lda,15587.56,Crítica,Concluído
MN00091,residencial atlântico,Manutenção preventiva,Hall,Correio acumulado sem distribuição,2023-11-10,2023-12-04,2023-11-20,UltraFix SA,242.24,Média,Concluído
MN00092,Condomínio Central,Melhoria,Telhado,Estrutura de suporte com sinais de degradação,2023-10-10,2023-10-17,2023-10-20,SmartRepair Lda,4610.5,Alta,CONCLUIDO
MN00093,residencial atlântico,Reparação urgente,Jardim,Iluminação exterior fundida,2024-10-13,2024-10-15,2024-10-19,TecnoReparações Unipessoal,203.83,Crítica,Concluído
MN00094,Jardins da Cidade,Inspeção,Telhado,Infiltrações detetadas após temporal,2024-08-26,2024-10-07,2024-11-04,UltraFix Group,4382.38,Baixa,Concluído
MN00095,QUINTA DAS PALMEIRAS,Manutenção preventiva,Hall,Lâmpadas fundidas,2025-01-27,2025-02-14,2025-03-03,TecnoReparações Group,190.8,Média,CONCLUIDO
MN00096,CONDOMÍNIO CENTRAL,melhoria,Jardim,Iluminação exterior fundida,2025-02-02,2025-03-09,2025-03-23,UltraFix & Filhos,218.56,Baixa,Concluído
MN00097,QUINTA DAS PALMEIRAS,Manutenção preventiva,Fachada,Pintura descascada em várias zonas,2023-09-05,2023-09-12,2023-09-16,MASTERFIX LDA,9048.54,Alta,Concluído
MN00098,Condomínio Central,Manutenção preventiva,Jardim,Iluminação exterior fundida,2025-03-30,2025-04-03,2025-04-08,UltraFix SA,670.88,Alta,Concluído
MN00099,QUINTA DAS PALMEIRAS,Manutenção preventiva,Garagem,Sistema de ventilação com problemas,2025-05-05,2025-05-18,2025-05-31,ProServiços SA,1007.91,Média,Concluído
MN00100,torres do sol,Reparação urgente,Piscina,Bomba de circulação com ruído anormal,2023-10-07,2023-10-09,2023-10-13,MASTERFIX LDA,1595.93,Crítica,Concluído
MN00101,VILA VERDE,Inspecção,Jardim,Poda de árvores urgente,2025-07-30,2025-08-30,,ProServiços SA,585.06,Baixa,Em curso
MN00102,Vila Verde,Reparação urgente,Garagem,Sistema de ventilação com problemas,2025-02-26,2025-03-03,2025-03-11,SmartRepair Solutions,1537.9,Alta,Concluído
MN00103,jardins da cidade,Inspeção,Elevador,Botões do painel não respondem,2024-03-31,2024-04-16,2024-04-23,UltraFix Group,1393.78,Média,Concluído
MN00104,Quinta das Palmeiras,Manutenção preventiva,Garagem,Portão automático avariado,2024-09-05,2024-09-25,2024-10-10,ProServiços SA,323.62,Baixa,Concluído
MN00105,Quinta das Palmeiras,Manutenção preventiva,Elevador,Avaria no sistema de travagem,2023-12-05,2023-12-12,2023-12-22,SmartRepair Lda,3622.23,alta,Concluído
MN00106,torres do sol,Manutencao preventiva,Fachada,Fissuras visíveis na parede norte,2025-03-13,2025-03-13,2025-03-15,MASTERFIX LDA,9749.08,Crítica,CONCLUIDO
MN00107,Quinta das Palmeiras,Reparação urgente,Telhado,Impermeabilização degradada,2024-03-27,2024-04-02,2024-04-08,masterfix lda,2526.91,Alta,Concluído
MN00108,Jardins da Cidade,Reparação urgente,Garagem,Portão automático avariado,2025-07-13,2025-07-15,2025-07-24,MasterFix Lda.,1421.3,Alta,Concluído
MN00109,Torres do Sol,Reparação urgente,Fachada,Necessária limpeza e tratamento anti-grafitti,2023-09-17,2023-09-17,2023-09-21,UltraFix SA,12132.97,Crítica,Concluído
MN00110,Residencial Atlântico,Manutenção preventiva,Garagem,Marcações no chão necessitam repintura,2024-01-19,2024-02-26,2024-03-08,,1888.34,Baixa,Concluído
MN00111,Quinta das Palmeiras,Melhoria,Elevador,Botões do painel não respondem,2023-10-09,2023-10-09,2023-10-11,UltraFix & Filhos,6364.25,Crítica,Concluído
MN00112,quinta das palmeiras,Inspeção,Elevador,Necessária inspeção periódica obrigatória,2025-06-09,2025-06-23,2025-07-02,GlobalTec Unipessoal,1130.96,Média,Concluído
MN00113,Torres do Sol,Melhoria,Piscina,Bomba de circulação com ruído anormal,2024-11-14,2024-11-14,2024-11-15,ProServiços Solutions,1739.52,Crítica,Concluído
MN00114,condomínio central,Manutenção preventiva,Elevador,Porta não fecha corretamente,2024-09-15,2024-09-22,2024-09-29,SmartRepair Lda,4031.99,alta,Concluído
MN00115,torres do sol,Reparação urgente,Piscina,Sistema de filtragem necessita manutenção,2024-10-13,2024-10-18,2024-10-23,GlobalTec Group,1194.16,Alta,Concluído
MN00116,vila verde,Melhoria,Elevador,Necessária inspeção periódica obrigatória,2024-02-13,2024-03-19,2024-03-31,SmartRepair Lda,408.19,Baixa,Concluído
MN00117,JARDINS DA CIDADE,Inspecção,Piscina,Sistema de filtragem necessita manutenção,2023-11-05,2023-12-13,2024-01-11,masterfix lda,1513.41,Baixa,Concluído
MN00118,JARDINS DA CIDADE,Reparação urgente,Jardim,Poda de árvores urgente,2024-02-15,2024-02-15,2024-02-16,SmartRepair Lda,1093.32,Crítica,Concluído
MN00119,condomínio central,Inspeção,Elevador,Avaria no sistema de travagem,2024-12-30,2025-01-01,2025-01-02,MASTERFIX LDA,815.71,Crítica,Concluído
MN00120,Vila Verde,Inspeção,Garagem,Marcações no chão necessitam repintura,2025-04-10,2025-04-11,2025-04-12,UltraFix & Filhos,3150.53,Crítica,Concluído
MN00121,TORRES DO SOL,Manutenção preventiva,Elevador,Avaria no sistema de travagem,2025-05-26,2025-06-02,2025-06-19,GlobalTec Group,871.37,Média,Concluído
MN00122,JARDINS DA CIDADE,Melhoria,Garagem,Portão automático avariado,2024-02-14,2024-02-28,2024-03-09,TecnoReparações Group,1139.56,Média,Concluído
MN00123,CONDOMÍNIO CENTRAL,Reparação urgente,Elevador,Botões do painel não respondem,2024-01-12,2024-01-12,2024-01-15,MASTERFIX LDA,6063.95,Crítica,Concluído
MN00124,Torres do Sol,Melhoria,Telhado,Impermeabilização degradada,2023-10-31,2023-11-06,2023-11-13,TecnoReparações Group,711.9,Alta,Concluído
MN00125,Torres do Sol,Manutenção preventiva,Piscina,Bomba de circulação com ruído anormal !!!!,2024-01-17,2024-01-23,,UltraFix SA,566.69,Alta,EM ANÁLISE
MN00126,TORRES DO SOL,Melhoria,Piscina,pH da água desregulado,2024-04-05,2024-04-05,2024-04-09,MasterFix Unipessoal,1402.7,Crítica,Concluído
MN00127,jardins da cidade,Manutenção preventiva,Elevador,Botões do painel não respondem,2025-07-21,2025-08-07,2025-08-12,SmartRepair Solutions,509.3,Média,Concluído
MN00128,Torres do Sol,Reparação urgente,Jardim,Sistema de rega avariado,2024-06-11,2024-06-11,2024-06-13,GlobalTec Group,1262.55,Crítica,Concluído
MN00129,Torres do Sol,Manutenção preventiva,Jardim,Pragas detetadas nas plantas,2024-10-11,2024-10-25,2024-11-13,SmartRepair Solutions,813.27,MÉDIA,Concluído
MN00130,Torres do Sol,Melhoria,Elevador,Avaria no sistema de travagem,2024-01-04,2024-01-17,2024-02-05,MasterFix Lda.,4570.76,Média,Concluído
MN00131,torres do sol,Melhoria,Garagem,Piso com fissuras e buracos,2024-06-07,2024-06-08,2024-06-11,ProServiços SA,2467.66,Crítica,Concluído
MN00132,jardins da cidade,Reparação urgente,Garagem,Piso com fissuras e buracos,2024-02-22,2024-02-22,2024-02-23,PrimeWorks Group,1496.66,Crítica,Concluído
MN00133,Quinta das Palmeiras,Inspeção,Hall,Correio acumulado sem distribuição,2025-07-25,2025-08-12,2025-08-19,ProServiços SA,749.87,Média,Concluído
MN00134,Condomínio Central,Reparação urgente,Elevador,Porta não fecha corretamente,2025-03-08,2025-03-10,2025-03-12,SmartRepair Lda,3574.98,Crítica,Concluído
MN00135,CONDOMÍNIO CENTRAL,Reparação urgente,Telhado,Estrutura de suporte com sinais de degradação,2024-12-21,2024-12-21,2024-12-22,SmartRepair Solutions,14820.03,Crítica,Concluído
MN00136,VILA VERDE,Reparação urgente,Jardim,Pragas detetadas nas plantas,2023-09-27,2023-09-29,2023-10-06,MasterFix Unipessoal,405.6,Alta,Concluído
MN00137,Residencial Atlântico,Manutenção preventiva,Elevador,Ruído excessivo durante funcionamento,2024-02-25,2024-02-28,2024-03-03,ProServiços Group,1223.8,Alta,Concluído
MN00138,CONDOMÍNIO CENTRAL,Manutenção preventiva,Elevador,Ruído excessivo durante funcionamento,2025-08-10,2025-08-12,,ProServiços SA,4597.54,Alta,Em curso
MN00139,TORRES DO SOL,Melhoria,Elevador,Ruído excessivo durante funcionamento,2025-01-18,2025-01-22,2025-01-29,UltraFix & Filhos,3416.61,Alta,Concluído
MN00140,vila verde,Reparação urgente,Fachada,Pintura descascada em várias zonas,2024-06-24,2024-07-01,2024-07-08,GlobalTec Unipessoal,8532.35,Alta,Concluído
MN00141,QUINTA DAS PALMEIRAS,Reparação urgente,Telhado,Infiltrações detetadas após temporal,2024-12-01,2024-12-03,2024-12-12,ProServiços Group,6568.41,alta,Concluído
MN00142,vila verde,Reparação urgente,Fachada,Revestimento cerâmico solto,2025-02-18,2025-02-21,,TecnoReparações Unipessoal,17654.93,Alta,reportado
MN00143,Vila Verde,Reparação urgente,Hall,Correio acumulado sem distribuição,2024-05-26,2024-06-15,2024-06-30,MASTERFIX LDA,233.97,Media,Concluído
MN00144,vila verde,Manutenção preventiva,Garagem,Portão automático avariado,2024-10-21,2024-10-27,2024-11-02,MasterFix Lda.,497.2,Alta,Concluído
MN00145,QUINTA DAS PALMEIRAS,Reparação urgente,Elevador,Ruído excessivo durante funcionamento,2025-05-16,2025-05-25,2025-06-07,MasterFix Unipessoal,2422.85,MÉDIA,Concluído
MN00146,Vila Verde,Melhoria,Piscina,Vedação de segurança danificada,2024-05-09,2024-05-22,2024-06-08,UltraFix & Filhos,,Média,Concluído
MN00147,quinta das palmeiras,Reparação urgente,Jardim,Pragas detetadas nas plantas,2023-12-20,2023-12-23,2023-12-26,MasterFix Unipessoal,172.11,Alta,Concluído
MN00148,JARDINS DA CIDADE,Inspeção,Elevador,Ruído excessivo durante funcionamento,2023-09-18,2023-09-18,2023-09-22,PrimeWorks Group,6522.28,critica,Concluído
MN00149,TORRES DO SOL,Manutenção preventiva,Telhado,Estrutura de suporte com sinais de degradação,2024-08-21,2024-08-23,2024-08-27,SmartRepair Lda,8310.96,Crítica,Concluído
MN00150,QUINTA DAS PALMEIRAS,Manutenção preventiva,Garagem,Iluminação insuficiente,2025-01-02,2025-01-19,2025-02-04,ProServiços Solutions,1081.32,Baixa,Concluído
MN00151,quinta das palmeiras,Manutenção preventiva,Telhado,Sistema de drenagem entupido,2024-08-01,2024-08-01,2024-08-03,UltraFix Group,17486.79,Crítica,Concluído
MN00152,JARDINS DA CIDADE,Reparação urgente,Garagem,Portão automático avariado,2024-05-06,2024-05-07,2024-05-11,UltraFix & Filhos,1597.89,Crítica,Concluído
MN00153,condomínio central,Reparação urgente,Jardim,Relva necessita tratamento,2025-04-11,2025-04-13,2025-04-18,UltraFix & Filhos,580.41,Alta,Concluído
MN00154,CONDOMÍNIO CENTRAL,Manutenção preventiva,Elevador,Avaria no sistema de travagem,2024-09-06,2024-09-06,2024-09-10,MasterFix Unipessoal,1575.17,Crítica,Concluído
MN00155,Condomínio Central,Melhoria,Piscina,pH da água desregulado,2024-02-11,2024-02-28,2024-03-09,GlobalTec Unipessoal,464.47,Média,Concluído
MN00156,CONDOMÍNIO CENTRAL,Manutenção preventiva,Garagem,Portão automático avariado,2024-12-11,2024-12-18,2024-12-28,GlobalTec Unipessoal,1730.32,Alta,Concluído
MN00157,TORRES DO SOL,Melhoria,Jardim,Poda de árvores urgente,2025-05-16,2025-05-21,2025-05-28,SmartRepair Solutions,71.33,Alta,Concluído
MN00158,quinta das palmeiras,Melhoria,Piscina,Vedação de segurança danificada,2024-06-15,2024-07-04,2024-07-14,ProServiços Group,564.26,Baixa,Concluído
MN00159,TORRES DO SOL,Manutenção preventiva,Garagem,Piso com fissuras e buracos,2024-02-04,2024-02-05,2024-02-09,ProServiços Solutions,,Crítica,Concluído
MN00160,CONDOMÍNIO CENTRAL,REPARAÇÃO URGENTE,Elevador,Avaria no sistema de travagem,2025-08-02,2025-08-04,,ProServiços SA,6111.82,Crítica,em curso
MN00161,jardins da cidade,Manutenção preventiva,Garagem,Iluminação insuficiente,2023-11-23,2023-11-23,2023-11-26,SmartRepair Lda,3564.26,Crítica,Concluído
